tanggal,no_nota,kode_barang,nama_barang,quantity
2025-12-24,MOG-251224-01,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2025-12-24,MOG-251224-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2025-12-24,MOG-251224-02,MOD-SPBAR,Spion Bar End / Tangkai Pendek Sporty,1
2025-12-24,MOG-251224-02,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-25,MOG-251225-01,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2025-12-25,MOG-251225-01,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2025-12-25,MOG-251225-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2025-12-25,MOG-251225-02,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2025-12-26,MOG-251226-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-26,MOG-251226-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-26,MOG-251226-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-26,MOG-251226-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-26,MOG-251226-03,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2025-12-26,MOG-251226-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-26,MOG-251226-04,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-27,MOG-251227-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-27,MOG-251227-01,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),3
2025-12-27,MOG-251227-02,GEN-638853,Busi Standard NGK CR8EB Piaggio,1
2025-12-27,MOG-251227-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2025-12-27,MOG-251227-03,GEN-B01807,Filter Udara Standard Piaggio,1
2025-12-27,MOG-251227-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-27,MOG-251227-04,MOD-FLFRX,Filter Udara Racing Ferrox Replacement,1
2025-12-28,MOG-251228-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,5
2025-12-28,MOG-251228-01,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2025-12-28,MOG-251228-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-28,MOG-251228-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2025-12-28,MOG-251228-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,3
2025-12-28,MOG-251228-03,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2025-12-28,MOG-251228-04,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),3
2025-12-29,MOG-251229-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-29,MOG-251229-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-29,MOG-251229-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-30,MOG-251230-01,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2025-12-30,MOG-251230-01,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2025-12-30,MOG-251230-02,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),4
2025-12-30,MOG-251230-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-31,MOG-251231-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-31,MOG-251231-01,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,1
2025-12-31,MOG-251231-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-31,MOG-251231-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-01,MOG-260101-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-01,MOG-260101-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-01,MOG-260101-02,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-01,MOG-260101-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-02,MOG-260102-01,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2026-01-02,MOG-260102-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-02,MOG-260102-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-02,MOG-260102-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-02,MOG-260102-03,GEN-651356,Kampas Rem Depan Standard Piaggio,2
2026-01-02,MOG-260102-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-02,MOG-260102-04,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),4
2026-01-03,MOG-260103-01,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-03,MOG-260103-01,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-03,MOG-260103-02,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-03,MOG-260103-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-03,MOG-260103-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-03,MOG-260103-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-03,MOG-260103-04,GEN-B01807,Filter Udara Standard Piaggio,1
2026-01-04,MOG-260104-01,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-04,MOG-260104-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2026-01-04,MOG-260104-02,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-04,MOG-260104-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,5
2026-01-04,MOG-260104-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-04,MOG-260104-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-04,MOG-260104-04,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,4
2026-01-05,MOG-260105-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-05,MOG-260105-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-05,MOG-260105-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-05,MOG-260105-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-06,MOG-260106-01,GEN-1A0033,V-Belt Standard Piaggio,1
2026-01-06,MOG-260106-01,MOD-WSMCA,Flyscreen / Windshield Mika Retro,1
2026-01-06,MOG-260106-02,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-06,MOG-260106-02,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),4
2026-01-07,MOG-260107-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-07,MOG-260107-01,GEN-B01807,Filter Udara Standard Piaggio,1
2026-01-07,MOG-260107-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-08,MOG-260108-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2026-01-08,MOG-260108-01,GEN-1A0033,V-Belt Standard Piaggio,1
2026-01-08,MOG-260108-02,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2026-01-08,MOG-260108-02,MOD-CRBAR,Crashbar Pelindung Body Vespa (Set),1
2026-01-09,MOG-260109-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-09,MOG-260109-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-09,MOG-260109-02,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),3
2026-01-09,MOG-260109-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-09,MOG-260109-03,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-09,MOG-260109-03,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2026-01-10,MOG-260110-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-10,MOG-260110-01,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),3
2026-01-10,MOG-260110-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-10,MOG-260110-02,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2026-01-10,MOG-260110-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-10,MOG-260110-03,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,1
2026-01-11,MOG-260111-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-11,MOG-260111-01,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,1
2026-01-11,MOG-260111-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,4
2026-01-11,MOG-260111-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-11,MOG-260111-03,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,1
2026-01-11,MOG-260111-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-11,MOG-260111-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-12,MOG-260112-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-12,MOG-260112-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-12,MOG-260112-02,GEN-B01807,Filter Udara Standard Piaggio,1
2026-01-12,MOG-260112-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-13,MOG-260113-01,GEN-651356,Kampas Rem Depan Standard Piaggio,2
2026-01-13,MOG-260113-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-13,MOG-260113-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-14,MOG-260114-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-14,MOG-260114-01,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-14,MOG-260114-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-14,MOG-260114-02,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2026-01-15,MOG-260115-01,GEN-1A0033,V-Belt Standard Piaggio,1
2026-01-15,MOG-260115-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-16,MOG-260116-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-16,MOG-260116-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-16,MOG-260116-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-16,MOG-260116-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,2
2026-01-16,MOG-260116-03,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2026-01-16,MOG-260116-03,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2026-01-16,MOG-260116-04,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-17,MOG-260117-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-17,MOG-260117-01,GEN-651356,Kampas Rem Depan Standard Piaggio,2
2026-01-17,MOG-260117-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-17,MOG-260117-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-17,MOG-260117-03,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-17,MOG-260117-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-17,MOG-260117-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-18,MOG-260118-01,GEN-B01807,Filter Udara Standard Piaggio,1
2026-01-18,MOG-260118-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-18,MOG-260118-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-18,MOG-260118-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-18,MOG-260118-03,MOD-SBYSS,Shockbreaker Aftermarket YSS / Scarlet (Set),1
2026-01-18,MOG-260118-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-18,MOG-260118-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-19,MOG-260119-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-19,MOG-260119-01,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2026-01-19,MOG-260119-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-20,MOG-260120-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-20,MOG-260120-01,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-20,MOG-260120-02,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-20,MOG-260120-02,MOD-SPBAR,Spion Bar End / Tangkai Pendek Sporty,1
2026-01-21,MOG-260121-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-21,MOG-260121-01,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),4
2026-01-21,MOG-260121-02,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2026-01-21,MOG-260121-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-22,MOG-260122-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-22,MOG-260122-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-22,MOG-260122-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-22,MOG-260122-02,MOD-SBYSS,Shockbreaker Aftermarket YSS / Scarlet (Set),1
2026-01-23,MOG-260123-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-23,MOG-260123-01,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,1
2026-01-23,MOG-260123-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-23,MOG-260123-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-23,MOG-260123-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-23,MOG-260123-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-23,MOG-260123-04,GEN-CM1691,Roller Assembly Standard Piaggio,2
2026-01-24,MOG-260124-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-24,MOG-260124-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2026-01-24,MOG-260124-02,GEN-638853,Busi Standard NGK CR8EB Piaggio,1
2026-01-24,MOG-260124-02,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,1
2026-01-24,MOG-260124-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-24,MOG-260124-03,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),2
2026-01-24,MOG-260124-04,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2026-01-25,MOG-260125-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,3
2026-01-25,MOG-260125-01,MOD-CRBAR,Crashbar Pelindung Body Vespa (Set),1
2026-01-25,MOG-260125-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-25,MOG-260125-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-25,MOG-260125-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-25,MOG-260125-03,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2026-01-25,MOG-260125-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-26,MOG-260126-01,MOD-WSMCA,Flyscreen / Windshield Mika Retro,1
2026-01-26,MOG-260126-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-26,MOG-260126-02,GEN-651356,Kampas Rem Depan Standard Piaggio,2
2026-01-26,MOG-260126-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-27,MOG-260127-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2026-01-27,MOG-260127-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,2
2026-01-27,MOG-260127-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-27,MOG-260127-02,GEN-638853,Busi Standard NGK CR8EB Piaggio,1
2026-01-28,MOG-260128-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-28,MOG-260128-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2026-01-28,MOG-260128-02,GEN-B01807,Filter Udara Standard Piaggio,1
2026-01-28,MOG-260128-02,GEN-1A0033,V-Belt Standard Piaggio,2
2026-01-29,MOG-260129-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2026-01-29,MOG-260129-01,GEN-651356,Kampas Rem Depan Standard Piaggio,1
2026-01-29,MOG-260129-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2026-01-29,MOG-260129-02,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,1
2026-01-30,MOG-260130-01,MOD-WSMCA,Flyscreen / Windshield Mika Retro,1
2026-01-30,MOG-260130-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-30,MOG-260130-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2026-01-30,MOG-260130-02,GEN-82635R,Filter Oli Mesin Piaggio,1
2026-01-30,MOG-260130-03,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,1
2026-01-30,MOG-260130-03,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,1
2026-01-30,MOG-260130-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-30,MOG-260130-04,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-31,MOG-260131-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-31,MOG-260131-01,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2026-01-31,MOG-260131-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2026-01-31,MOG-260131-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2026-01-31,MOG-260131-03,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2026-01-31,MOG-260131-04,GEN-82635R,Filter Oli Mesin Piaggio,1
